X_1 Y_1 p_(Pa)
15  
0 0 376000
0.0442 0.1458 432000
0.0837 0.2401 471000
0.1306 0.3185 508000
0.1706 0.3725 532000
0.3075 0.477 583000
0.4282 0.5302 607000
0.4789 0.5531 613000
0.5557 0.58 616000
0.6089 0.5911 613000
0.6503 0.6022 610000
0.6982 0.6319 604000
0.7601 0.6588 594000
0.8317 0.7055 576000
0.8678 0.7327 564000
