"Temperature_(K)" "Pressure_(MPa)" "Vap._Density_(mol/m3)" "Liq._Density_(mol/m3)"
197 0.000064506 0.039386 11891
197.1 0.000065173 0.039774 11890
197.2 0.000065847 0.040164 11889
197.3 0.000066526 0.040558 11887
197.4 0.000067212 0.040956 11886
197.5 0.000067905 0.041357 11885
197.6 0.000068603 0.041761 11884
197.7 0.000069308 0.042169 11882
197.8 0.000070019 0.04258 11881
197.9 0.000070737 0.042995 11880
198 0.000071461 0.043413 11879
198.1 0.000072192 0.043835 11877
198.2 0.000072929 0.04426 11876
198.3 0.000073673 0.044689 11875
198.4 0.000074424 0.045122 11874
198.5 0.000075182 0.045559 11872
198.6 0.000075946 0.045999 11871
198.7 0.000076718 0.046443 11870
198.8 0.000077496 0.04689 11868
198.9 0.000078281 0.047341 11867
199 0.000079073 0.047797 11866
199.1 0.000079873 0.048256 11865
199.2 0.000080679 0.048718 11863
199.3 0.000081493 0.049185 11862
199.4 0.000082314 0.049656 11861
199.5 0.000083142 0.05013 11860
199.6 0.000083978 0.050609 11858
199.7 0.000084821 0.051091 11857
199.8 0.000085672 0.051578 11856
199.9 0.00008653 0.052069 11855
200 0.000087395 0.052563 11853
200.1 0.000088269 0.053062 11852
200.2 0.00008915 0.053565 11851
200.3 0.000090039 0.054072 11849
200.4 0.000090935 0.054583 11848
200.5 0.00009184 0.055099 11847
200.6 0.000092752 0.055619 11846
200.7 0.000093673 0.056143 11844
200.8 0.000094602 0.056671 11843
200.9 0.000095538 0.057204 11842
201 0.000096483 0.057741 11841
201.1 0.000097436 0.058283 11839
201.2 0.000098398 0.058829 11838
201.3 0.000099368 0.059379 11837
201.4 0.00010035 0.059934 11836
201.5 0.00010133 0.060493 11834
201.6 0.00010233 0.061057 11833
201.7 0.00010333 0.061626 11832
201.8 0.00010435 0.062199 11830
201.9 0.00010537 0.062777 11829
202 0.0001064 0.06336 11828
202.1 0.00010744 0.063947 11827
202.2 0.00010848 0.064539 11825
202.3 0.00010954 0.065136 11824
202.4 0.00011061 0.065737 11823
202.5 0.00011168 0.066344 11822
202.6 0.00011277 0.066955 11820
202.7 0.00011386 0.067571 11819
202.8 0.00011496 0.068193 11818
202.9 0.00011608 0.068819 11817
203 0.0001172 0.06945 11815
203.1 0.00011833 0.070086 11814
203.2 0.00011947 0.070727 11813
203.3 0.00012062 0.071374 11811
203.4 0.00012178 0.072025 11810
203.5 0.00012296 0.072682 11809
203.6 0.00012414 0.073344 11808
203.7 0.00012533 0.074011 11806
203.8 0.00012653 0.074684 11805
203.9 0.00012774 0.075362 11804
204 0.00012896 0.076045 11803
204.1 0.00013019 0.076733 11801
204.2 0.00013143 0.077427 11800
204.3 0.00013268 0.078127 11799
204.4 0.00013395 0.078832 11798
204.5 0.00013522 0.079542 11796
204.6 0.0001365 0.080259 11795
204.7 0.0001378 0.08098 11794
204.8 0.0001391 0.081708 11792
204.9 0.00014042 0.082441 11791
205 0.00014175 0.083179 11790
205.1 0.00014309 0.083924 11789
