X_1 Y_1 p_(Pa)
14  
0.052 0.815 861845
0.11 0.894 1634058.12
0.167 0.923 2447639.8
0.207 0.934 3061273.44
0.287 0.943 4088592.68
0.353 0.948 4957332.44
0.422 0.947 5888125.04
0.486 0.947 6708601.48
0.541 0.949 7473919.84
0.599 0.945 8294396.28
0.683 0.93 9149346.52
0.752 0.918 10052560.08
0.805 0.906 10466245.68
0.821 0.886 10659298.96
