"X_1" "Y_1" "p_(Pa)"
6
0.1105 0.8455 14630000
0.1594 0.864 20790000
0.2112 0.8582 27430000
0.2701 0.8488 34890000
0.3282 0.8346 41750000
0.4081 0.8019 50430000
