"Temperature_(K)" "Pressure_(MPa)" "Vap._Density_(mol/m3)" "Liq._Density_(mol/m3)"
1203
173.1 2.61E-02 18.437 12304
173.2 2.63E-02 18.56 12301
173.3 2.65E-02 18.683 12298
173.4 2.66E-02 18.806 12295
173.5 2.68E-02 18.93 12292
173.6 2.70E-02 19.055 12289
173.7 2.72E-02 19.181 12286
173.8 2.74E-02 19.307 12283
173.9 2.76E-02 19.434 12280
174 2.78E-02 19.562 12277
174.1 2.80E-02 19.69 12274
174.2 2.82E-02 19.819 12271
174.3 2.84E-02 19.948 12268
174.4 2.86E-02 20.078 12265
174.5 2.88E-02 20.209 12262
174.6 2.90E-02 20.341 12259
174.7 2.92E-02 20.473 12256
174.8 2.94E-02 20.606 12253
174.9 2.96E-02 20.74 12250
175 2.98E-02 20.874 12247
175.1 3.00E-02 21.009 12245
175.2 3.02E-02 21.145 12242
175.3 3.04E-02 21.281 12239
175.4 3.06E-02 21.418 12236
175.5 3.08E-02 21.556 12233
175.6 3.11E-02 21.694 12230
175.7 3.13E-02 21.833 12227
175.8 3.15E-02 21.973 12224
175.9 3.17E-02 22.114 12221
176 3.19E-02 22.255 12218
176.1 3.21E-02 22.397 12215
176.2 3.24E-02 22.54 12212
176.3 3.26E-02 22.683 12209
176.4 3.28E-02 22.827 12206
176.5 3.30E-02 22.972 12203
176.6 3.33E-02 23.118 12200
176.7 3.35E-02 23.264 12197
176.8 3.37E-02 23.411 12194
176.9 3.39E-02 23.559 12191
177 3.42E-02 23.708 12188
177.1 3.44E-02 23.857 12185
177.2 3.46E-02 24.007 12182
177.3 3.49E-02 24.158 12179
177.4 3.51E-02 24.309 12176
177.5 3.53E-02 24.461 12173
177.6 3.56E-02 24.614 12170
177.7 3.58E-02 24.768 12167
177.8 3.61E-02 24.923 12164
177.9 3.63E-02 25.078 12161
178 3.65E-02 25.234 12158
178.1 3.68E-02 25.391 12155
178.2 3.70E-02 25.548 12152
178.3 3.73E-02 25.707 12149
178.4 3.75E-02 25.866 12146
178.5 3.78E-02 26.026 12143
178.6 3.80E-02 26.186 12140
178.7 3.83E-02 26.348 12137
178.8 3.85E-02 26.51 12133
178.9 3.88E-02 26.673 12130
179 3.90E-02 26.837 12127
179.1 3.93E-02 27.002 12124
179.2 3.95E-02 27.167 12121
179.3 3.98E-02 27.333 12118
179.4 4.01E-02 27.5 12115
179.5 4.03E-02 27.668 12112
179.6 4.06E-02 27.837 12109
179.7 4.09E-02 28.006 12106
179.8 4.11E-02 28.176 12103
179.9 4.14E-02 28.347 12100
180 4.17E-02 28.519 12097
180.1 4.19E-02 28.692 12094
180.2 4.22E-02 28.865 12091
180.3 4.25E-02 29.04 12088
180.4 4.28E-02 29.215 12085
180.5 4.30E-02 29.391 12082
180.6 4.33E-02 29.568 12079
180.7 4.36E-02 29.745 12076
180.8 4.39E-02 29.924 12073
180.9 4.41E-02 30.103 12070
181 4.44E-02 30.283 12067
181.1 4.47E-02 30.464 12064
181.2 4.50E-02 30.646 12061
181.3 4.53E-02 30.829 12058
181.4 4.56E-02 31.012 12055
181.5 4.59E-02 31.197 12052
181.6 4.62E-02 31.382 12049
181.7 4.65E-02 31.568 12046
181.8 4.68E-02 31.755 12043
181.9 4.71E-02 31.943 12039
182 4.73E-02 32.132 12036
182.1 4.76E-02 32.322 12033
182.2 4.80E-02 32.512 12030
182.3 4.83E-02 32.704 12027
182.4 4.86E-02 32.896 12024
182.5 4.89E-02 33.089 12021
182.6 4.92E-02 33.283 12018
182.7 4.95E-02 33.478 12015
182.8 4.98E-02 33.674 12012
182.9 5.01E-02 33.871 12009
183 5.04E-02 34.068 12006
183.1 5.07E-02 34.267 12003
183.2 5.10E-02 34.466 12000
183.3 5.14E-02 34.667 11997
183.4 5.17E-02 34.868 11994
183.5 5.20E-02 35.07 11991
183.6 5.23E-02 35.273 11988
183.7 5.27E-02 35.477 11984
183.8 5.30E-02 35.682 11981
183.9 5.33E-02 35.888 11978
184 5.36E-02 36.095 11975
184.1 5.40E-02 36.303 11972
184.2 5.43E-02 36.512 11969
184.3 5.46E-02 36.721 11966
184.4 5.50E-02 36.932 11963
184.5 5.53E-02 37.143 11960
184.6 5.56E-02 37.356 11957
184.7 5.60E-02 37.569 11954
184.8 5.63E-02 37.784 11951
184.9 5.67E-02 37.999 11948
185 5.70E-02 38.215 11945
185.1 5.74E-02 38.432 11941
185.2 5.77E-02 38.651 11938
185.3 5.81E-02 38.87 11935
185.4 5.84E-02 39.09 11932
185.5 5.88E-02 39.311 11929
185.6 5.91E-02 39.533 11926
185.7 5.95E-02 39.756 11923
185.8 5.98E-02 39.981 11920
185.9 6.02E-02 40.206 11917
186 6.06E-02 40.432 11914
186.1 6.09E-02 40.659 11911
186.2 6.13E-02 40.887 11907
186.3 6.17E-02 41.116 11904
186.4 6.20E-02 41.346 11901
186.5 6.24E-02 41.577 11898
186.6 6.28E-02 41.809 11895
186.7 6.32E-02 42.042 11892
186.8 6.35E-02 42.276 11889
186.9 6.39E-02 42.511 11886
187 6.43E-02 42.748 11883
187.1 6.47E-02 42.985 11880
187.2 6.51E-02 43.223 11876
187.3 6.54E-02 43.462 11873
187.4 6.58E-02 43.702 11870
187.5 6.62E-02 43.944 11867
187.6 6.66E-02 44.186 11864
187.7 6.70E-02 44.429 11861
187.8 6.74E-02 44.674 11858
187.9 6.78E-02 44.919 11855
188 6.82E-02 45.166 11852
188.1 6.86E-02 45.413 11849
188.2 6.90E-02 45.662 11845
188.3 6.94E-02 45.912 11842
188.4 6.98E-02 46.163 11839
188.5 7.02E-02 46.414 11836
188.6 7.06E-02 46.667 11833
188.7 7.10E-02 46.921 11830
188.8 7.15E-02 47.176 11827
188.9 7.19E-02 47.433 11824
189 7.23E-02 47.69 11820
189.1 7.27E-02 47.948 11817
189.2 7.31E-02 48.208 11814
189.3 7.35E-02 48.468 11811
189.4 7.40E-02 48.73 11808
189.5 7.44E-02 48.992 11805
189.6 7.48E-02 49.256 11802
189.7 7.53E-02 49.521 11799
189.8 7.57E-02 49.787 11795
189.9 7.61E-02 50.054 11792
190 7.66E-02 50.323 11789
190.1 7.70E-02 50.592 11786
190.2 7.74E-02 50.863 11783
190.3 7.79E-02 51.134 11780
190.4 7.83E-02 51.407 11777
190.5 7.88E-02 51.681 11773
190.6 7.92E-02 51.956 11770
190.7 7.97E-02 52.232 11767
190.8 8.01E-02 52.509 11764
190.9 8.06E-02 52.788 11761
191 8.10E-02 53.068 11758
191.1 8.15E-02 53.348 11755
191.2 0.081949 53.63 11751
191.3 0.082411 53.913 11748
191.4 0.082876 54.198 11745
191.5 0.083342 54.483 11742
191.6 0.083811 54.77 11739
191.7 0.084281 55.058 11736
191.8 0.084754 55.346 11732
191.9 0.085229 55.637 11729
192 0.085705 55.928 11726
192.1 0.086184 56.22 11723
192.2 0.086665 56.514 11720
192.3 0.087148 56.809 11717
192.4 0.087633 57.105 11713
192.5 0.088121 57.402 11710
192.6 0.08861 57.701 11707
192.7 0.089102 58.001 11704
192.8 0.089595 58.302 11701
192.9 0.090091 58.604 11698
193 0.090589 58.907 11694
193.1 0.091089 59.212 11691
193.2 0.091591 59.518 11688
193.3 0.092096 59.825 11685
193.4 0.092602 60.133 11682
193.5 0.093111 60.442 11679
193.6 0.093622 60.753 11675
193.7 0.094135 61.065 11672
193.8 0.09465 61.378 11669
193.9 0.095168 61.693 11666
194 0.095687 62.009 11663
194.1 0.096209 62.326 11659
194.2 0.096734 62.644 11656
194.3 0.09726 62.963 11653
194.4 0.097788 63.284 11650
194.5 0.098319 63.606 11647
194.6 0.098852 63.93 11643
194.7 0.099388 64.254 11640
194.8 0.099925 64.58 11637
194.9 0.10047 64.907 11634
195 0.10101 65.236 11631
195.1 0.10155 65.566 11627
195.2 0.1021 65.897 11624
195.3 0.10265 66.229 11621
195.4 0.1032 66.563 11618
195.5 0.10375 66.898 11615
195.6 0.10431 67.234 11611
195.7 0.10487 67.572 11608
195.8 0.10543 67.911 11605
195.9 0.10599 68.251 11602
196 0.10656 68.593 11599
196.1 0.10712 68.935 11595
196.2 0.10769 69.28 11592
196.3 0.10826 69.625 11589
196.4 0.10884 69.972 11586
196.5 0.10942 70.321 11583
196.6 0.11 70.67 11579
196.7 0.11058 71.021 11576
196.8 0.11116 71.373 11573
196.9 0.11175 71.727 11570
197 0.11234 72.082 11566
197.1 0.11293 72.439 11563
197.2 0.11352 72.796 11560
197.3 0.11412 73.156 11557
197.4 0.11472 73.516 11553
197.5 0.11532 73.878 11550
197.6 0.11592 74.241 11547
197.7 0.11653 74.606 11544
197.8 0.11714 74.972 11541
197.9 0.11775 75.34 11537
198 0.11836 75.709 11534
198.1 0.11898 76.079 11531
198.2 0.11959 76.451 11528
198.3 0.12022 76.824 11524
198.4 0.12084 77.198 11521
198.5 0.12146 77.574 11518
198.6 0.12209 77.952 11515
198.7 0.12272 78.331 11511
198.8 0.12336 78.711 11508
198.9 0.12399 79.092 11505
199 0.12463 79.476 11502
199.1 0.12527 79.86 11498
199.2 0.12592 80.246 11495
199.3 0.12656 80.634 11492
199.4 0.12721 81.023 11489
199.5 0.12786 81.413 11485
199.6 0.12852 81.805 11482
199.7 0.12917 82.198 11479
199.8 0.12983 82.593 11475
199.9 0.13049 82.989 11472
200 0.13116 83.387 11469
200.1 0.13182 83.786 11466
200.2 0.13249 84.187 11462
200.3 0.13316 84.589 11459
200.4 0.13384 84.993 11456
200.5 0.13452 85.398 11453
200.6 0.1352 85.805 11449
200.7 0.13588 86.213 11446
200.8 0.13656 86.623 11443
200.9 0.13725 87.034 11439
201 0.13794 87.447 11436
201.1 0.13864 87.861 11433
201.2 0.13933 88.277 11430
201.3 0.14003 88.694 11426
201.4 0.14073 89.113 11423
201.5 0.14144 89.533 11420
201.6 0.14214 89.955 11416
201.7 0.14285 90.379 11413
201.8 0.14356 90.804 11410
201.9 0.14428 91.23 11406
202 0.145 91.659 11403
202.1 0.14572 92.088 11400
202.2 0.14644 92.52 11397
202.3 0.14717 92.953 11393
202.4 0.1479 93.387 11390
202.5 0.14863 93.823 11387
202.6 0.14936 94.261 11383
202.7 0.1501 94.7 11380
202.8 0.15084 95.141 11377
202.9 0.15158 95.583 11373
203 0.15233 96.027 11370
203.1 0.15308 96.473 11367
203.2 0.15383 96.92 11363
203.3 0.15458 97.369 11360
203.4 0.15534 97.819 11357
203.5 0.1561 98.271 11353
203.6 0.15686 98.725 11350
203.7 0.15763 99.18 11347
203.8 0.15839 99.637 11343
203.9 0.15916 100.1 11340
204 0.15994 100.56 11337
204.1 0.16072 101.02 11333
204.2 0.1615 101.48 11330
204.3 0.16228 101.95 11327
204.4 0.16306 102.41 11323
204.5 0.16385 102.88 11320
204.6 0.16464 103.35 11317
204.7 0.16544 103.82 11313
204.8 0.16624 104.3 11310
204.9 0.16704 104.77 11307
205 0.16784 105.25 11303
205.1 0.16865 105.73 11300
205.2 0.16946 106.21 11297
205.3 0.17027 106.69 11293
205.4 0.17108 107.18 11290
205.5 0.1719 107.66 11287
205.6 0.17272 108.15 11283
205.7 0.17355 108.64 11280
205.8 0.17437 109.13 11276
205.9 0.1752 109.62 11273
206 0.17604 110.11 11270
206.1 0.17687 110.61 11266
206.2 0.17771 111.11 11263
206.3 0.17856 111.61 11260
206.4 0.1794 112.11 11256
206.5 0.18025 112.61 11253
206.6 0.1811 113.11 11250
206.7 0.18196 113.62 11246
206.8 0.18281 114.13 11243
206.9 0.18368 114.64 11239
207 0.18454 115.15 11236
207.1 0.18541 115.66 11233
207.2 0.18628 116.18 11229
207.3 0.18715 116.7 11226
207.4 0.18803 117.22 11222
207.5 0.18891 117.74 11219
207.6 0.18979 118.26 11216
207.7 0.19068 118.78 11212
207.8 0.19156 119.31 11209
207.9 0.19246 119.84 11205
208 0.19335 120.37 11202
208.1 0.19425 120.9 11199
208.2 0.19515 121.43 11195
208.3 0.19606 121.97 11192
208.4 0.19697 122.5 11188
208.5 0.19788 123.04 11185
208.6 0.19879 123.58 11182
208.7 0.19971 124.13 11178
208.8 0.20063 124.67 11175
208.9 0.20156 125.22 11171
209 0.20248 125.76 11168
209.1 0.20341 126.32 11164
209.2 0.20435 126.87 11161
209.3 0.20529 127.42 11158
209.4 0.20623 127.98 11154
209.5 0.20717 128.53 11151
209.6 0.20812 129.09 11147
209.7 0.20907 129.66 11144
209.8 0.21002 130.22 11140
209.9 0.21098 130.78 11137
210 0.21194 131.35 11134
210.1 0.2129 131.92 11130
210.2 0.21387 132.49 11127
210.3 0.21484 133.06 11123
210.4 0.21582 133.64 11120
210.5 0.21679 134.22 11116
210.6 0.21777 134.8 11113
210.7 0.21876 135.38 11109
210.8 0.21975 135.96 11106
210.9 0.22074 136.54 11103
211 0.22173 137.13 11099
211.1 0.22273 137.72 11096
211.2 0.22373 138.31 11092
211.3 0.22473 138.9 11089
211.4 0.22574 139.5 11085
211.5 0.22675 140.09 11082
211.6 0.22777 140.69 11078
211.7 0.22879 141.29 11075
211.8 0.22981 141.9 11071
211.9 0.23083 142.5 11068
212 0.23186 143.11 11064
212.1 0.23289 143.72 11061
212.2 0.23393 144.33 11057
212.3 0.23497 144.94 11054
212.4 0.23601 145.55 11050
212.5 0.23706 146.17 11047
212.6 0.23811 146.79 11044
212.7 0.23916 147.41 11040
212.8 0.24022 148.03 11037
212.9 0.24128 148.66 11033
213 0.24234 149.29 11030
213.1 0.24341 149.92 11026
213.2 0.24448 150.55 11023
213.3 0.24555 151.18 11019
213.4 0.24663 151.82 11016
213.5 0.24771 152.45 11012
213.6 0.2488 153.09 11009
213.7 0.24989 153.74 11005
213.8 0.25098 154.38 11001
213.9 0.25208 155.03 10998
214 0.25318 155.67 10994
214.1 0.25428 156.32 10991
214.2 0.25539 156.98 10987
214.3 0.2565 157.63 10984
214.4 0.25761 158.29 10980
214.5 0.25873 158.95 10977
214.6 0.25985 159.61 10973
214.7 0.26098 160.27 10970
214.8 0.26211 160.94 10966
214.9 0.26324 161.61 10963
215 0.26438 162.28 10959
215.1 0.26552 162.95 10956
215.2 0.26666 163.62 10952
215.3 0.26781 164.3 10949
215.4 0.26896 164.98 10945
215.5 0.27012 165.66 10941
215.6 0.27128 166.34 10938
215.7 0.27244 167.03 10934
215.8 0.27361 167.71 10931
215.9 0.27478 168.4 10927
216 0.27595 169.1 10924
216.1 0.27713 169.79 10920
216.2 0.27831 170.49 10917
216.3 0.2795 171.18 10913
216.4 0.28068 171.89 10909
216.5 0.28188 172.59 10906
216.6 0.28307 173.29 10902
216.7 0.28428 174 10899
216.8 0.28548 174.71 10895
216.9 0.28669 175.43 10892
217 0.2879 176.14 10888
217.1 0.28912 176.86 10884
217.2 0.29034 177.58 10881
217.3 0.29156 178.3 10877
217.4 0.29279 179.02 10874
217.5 0.29402 179.75 10870
217.6 0.29526 180.48 10866
217.7 0.2965 181.21 10863
217.8 0.29774 181.94 10859
217.9 0.29899 182.68 10856
218 0.30024 183.42 10852
218.1 0.3015 184.16 10848
218.2 0.30276 184.9 10845
218.3 0.30402 185.64 10841
218.4 0.30529 186.39 10838
218.5 0.30656 187.14 10834
218.6 0.30783 187.89 10830
218.7 0.30911 188.65 10827
218.8 0.3104 189.41 10823
218.9 0.31168 190.17 10819
219 0.31297 190.93 10816
219.1 0.31427 191.69 10812
219.2 0.31557 192.46 10809
219.3 0.31687 193.23 10805
219.4 0.31818 194 10801
219.5 0.31949 194.77 10798
219.6 0.32081 195.55 10794
219.7 0.32213 196.33 10790
219.8 0.32345 197.11 10787
219.9 0.32478 197.9 10783
220 0.32611 198.68 10779
220.1 0.32745 199.47 10776
220.2 0.32879 200.26 10772
220.3 0.33013 201.06 10768
220.4 0.33148 201.85 10765
220.5 0.33284 202.65 10761
220.6 0.33419 203.46 10757
220.7 0.33555 204.26 10754
220.8 0.33692 205.07 10750
220.9 0.33829 205.88 10746
221 0.33966 206.69 10743
221.1 0.34104 207.5 10739
221.2 0.34242 208.32 10735
221.3 0.34381 209.14 10732
221.4 0.3452 209.96 10728
221.5 0.34659 210.78 10724
221.6 0.34799 211.61 10721
221.7 0.3494 212.44 10717
221.8 0.3508 213.27 10713
221.9 0.35222 214.11 10710
222 0.35363 214.95 10706
222.1 0.35505 215.79 10702
222.2 0.35648 216.63 10699
222.3 0.35791 217.48 10695
222.4 0.35934 218.32 10691
222.5 0.36078 219.18 10687
222.6 0.36222 220.03 10684
222.7 0.36366 220.88 10680
222.8 0.36512 221.74 10676
222.9 0.36657 222.61 10673
223 0.36803 223.47 10669
223.1 0.36949 224.34 10665
223.2 0.37096 225.21 10661
223.3 0.37243 226.08 10658
223.4 0.37391 226.95 10654
223.5 0.37539 227.83 10650
223.6 0.37688 228.71 10646
223.7 0.37837 229.6 10643
223.8 0.37986 230.48 10639
223.9 0.38136 231.37 10635
224 0.38286 232.26 10631
224.1 0.38437 233.16 10628
224.2 0.38588 234.05 10624
224.3 0.3874 234.95 10620
224.4 0.38892 235.86 10616
224.5 0.39045 236.76 10613
224.6 0.39198 237.67 10609
224.7 0.39351 238.58 10605
224.8 0.39505 239.49 10601
224.9 0.39659 240.41 10598
225 0.39814 241.33 10594
225.1 0.39969 242.25 10590
225.2 0.40125 243.18 10586
225.3 0.40281 244.11 10582
225.4 0.40438 245.04 10579
225.5 0.40595 245.97 10575
225.6 0.40753 246.91 10571
225.7 0.40911 247.85 10567
225.8 0.41069 248.79 10564
225.9 0.41228 249.74 10560
226 0.41387 250.68 10556
226.1 0.41547 251.63 10552
226.2 0.41707 252.59 10548
226.3 0.41868 253.55 10544
226.4 0.42029 254.51 10541
226.5 0.42191 255.47 10537
226.6 0.42353 256.43 10533
226.7 0.42516 257.4 10529
226.8 0.42679 258.38 10525
226.9 0.42842 259.35 10522
227 0.43007 260.33 10518
227.1 0.43171 261.31 10514
227.2 0.43336 262.29 10510
227.3 0.43501 263.28 10506
227.4 0.43667 264.27 10502
227.5 0.43834 265.26 10499
227.6 0.44001 266.26 10495
227.7 0.44168 267.26 10491
227.8 0.44336 268.26 10487
227.9 0.44504 269.27 10483
228 0.44673 270.27 10479
228.1 0.44842 271.28 10475
228.2 0.45012 272.3 10472
228.3 0.45182 273.32 10468
228.4 0.45353 274.34 10464
228.5 0.45524 275.36 10460
228.6 0.45695 276.39 10456
228.7 0.45868 277.42 10452
228.8 0.4604 278.45 10448
228.9 0.46213 279.49 10444
229 0.46387 280.53 10441
229.1 0.46561 281.57 10437
229.2 0.46735 282.61 10433
229.3 0.46911 283.66 10429
229.4 0.47086 284.72 10425
229.5 0.47262 285.77 10421
229.6 0.47439 286.83 10417
229.7 0.47616 287.89 10413
229.8 0.47793 288.96 10409
229.9 0.47971 290.02 10405
230 0.4815 291.1 10401
230.1 0.48329 292.17 10398
230.2 0.48508 293.25 10394
230.3 0.48688 294.33 10390
230.4 0.48869 295.41 10386
230.5 0.4905 296.5 10382
230.6 0.49231 297.59 10378
230.7 0.49413 298.69 10374
230.8 0.49595 299.79 10370
230.9 0.49778 300.89 10366
231 0.49962 301.99 10362
231.1 0.50146 303.1 10358
231.2 0.5033 304.21 10354
231.3 0.50515 305.33 10350
231.4 0.50701 306.44 10346
231.5 0.50887 307.56 10342
231.6 0.51074 308.69 10338
231.7 0.51261 309.82 10334
231.8 0.51448 310.95 10330
231.9 0.51636 312.08 10326
232 0.51825 313.22 10322
232.1 0.52014 314.36 10318
232.2 0.52203 315.51 10314
232.3 0.52394 316.66 10310
232.4 0.52584 317.81 10306
232.5 0.52775 318.97 10302
232.6 0.52967 320.12 10298
232.7 0.53159 321.29 10294
232.8 0.53352 322.45 10290
232.9 0.53545 323.62 10286
233 0.53739 324.8 10282
233.1 0.53933 325.97 10278
233.2 0.54128 327.15 10274
233.3 0.54323 328.34 10270
233.4 0.54519 329.53 10266
233.5 0.54715 330.72 10262
233.6 0.54912 331.91 10258
233.7 0.5511 333.11 10254
233.8 0.55308 334.31 10250
233.9 0.55506 335.52 10246
234 0.55705 336.73 10242
234.1 0.55905 337.94 10238
234.2 0.56105 339.16 10234
234.3 0.56305 340.38 10230
234.4 0.56507 341.6 10226
234.5 0.56708 342.83 10222
234.6 0.5691 344.06 10218
234.7 0.57113 345.29 10214
234.8 0.57316 346.53 10210
234.9 0.5752 347.77 10206
235 0.57725 349.02 10201
235.1 0.57929 350.27 10197
235.2 0.58135 351.52 10193
235.3 0.58341 352.78 10189
235.4 0.58547 354.04 10185
235.5 0.58754 355.31 10181
235.6 0.58962 356.58 10177
235.7 0.5917 357.85 10173
235.8 0.59379 359.12 10169
235.9 0.59588 360.41 10165
236 0.59798 361.69 10160
236.1 0.60008 362.98 10156
236.2 0.60219 364.27 10152
236.3 0.60431 365.56 10148
236.4 0.60643 366.86 10144
236.5 0.60855 368.17 10140
236.6 0.61068 369.48 10136
236.7 0.61282 370.79 10131
236.8 0.61496 372.1 10127
236.9 0.61711 373.42 10123
237 0.61926 374.75 10119
237.1 0.62142 376.07 10115
237.2 0.62359 377.4 10111
237.3 0.62576 378.74 10107
237.4 0.62793 380.08 10102
237.5 0.63011 381.42 10098
237.6 0.6323 382.77 10094
237.7 0.63449 384.12 10090
237.8 0.63669 385.48 10086
237.9 0.6389 386.84 10081
238 0.64111 388.2 10077
238.1 0.64332 389.57 10073
238.2 0.64554 390.94 10069
238.3 0.64777 392.32 10065
238.4 0.65 393.7 10060
238.5 0.65224 395.08 10056
238.6 0.65448 396.47 10052
238.7 0.65673 397.86 10048
238.8 0.65899 399.26 10044
238.9 0.66125 400.66 10039
239 0.66351 402.07 10035
239.1 0.66579 403.48 10031
239.2 0.66807 404.89 10027
239.3 0.67035 406.31 10022
239.4 0.67264 407.73 10018
239.5 0.67493 409.16 10014
239.6 0.67724 410.59 10010
239.7 0.67954 412.02 10005
239.8 0.68186 413.46 10001
239.9 0.68418 414.91 9996.9
240 0.6865 416.36 9992.6
240.1 0.68883 417.81 9988.3
240.2 0.69117 419.26 9984
240.3 0.69351 420.73 9979.7
240.4 0.69586 422.19 9975.5
240.5 0.69821 423.66 9971.2
240.6 0.70057 425.14 9966.9
240.7 0.70294 426.62 9962.6
240.8 0.70531 428.1 9958.3
240.9 0.70769 429.59 9953.9
241 0.71007 431.08 9949.6
241.1 0.71246 432.58 9945.3
241.2 0.71486 434.08 9941
241.3 0.71726 435.59 9936.7
241.4 0.71967 437.1 9932.3
241.5 0.72208 438.61 9928
241.6 0.7245 440.13 9923.7
241.7 0.72693 441.66 9919.3
241.8 0.72936 443.19 9915
241.9 0.7318 444.72 9910.6
242 0.73424 446.26 9906.3
242.1 0.73669 447.8 9901.9
242.2 0.73915 449.35 9897.5
242.3 0.74161 450.9 9893.2
242.4 0.74408 452.46 9888.8
242.5 0.74655 454.02 9884.4
242.6 0.74903 455.59 9880
242.7 0.75152 457.16 9875.6
242.8 0.75401 458.74 9871.3
242.9 0.75651 460.32 9866.9
243 0.75901 461.9 9862.5
243.1 0.76153 463.49 9858.1
243.2 0.76404 465.09 9853.6
243.3 0.76657 466.69 9849.2
243.4 0.7691 468.29 9844.8
243.5 0.77163 469.9 9840.4
243.6 0.77417 471.52 9836
243.7 0.77672 473.14 9831.5
243.8 0.77928 474.76 9827.1
243.9 0.78184 476.39 9822.7
244 0.7844 478.03 9818.2
244.1 0.78698 479.67 9813.8
244.2 0.78955 481.31 9809.3
244.3 0.79214 482.96 9804.8
244.4 0.79473 484.62 9800.4
244.5 0.79733 486.28 9795.9
244.6 0.79993 487.94 9791.4
244.7 0.80255 489.61 9787
244.8 0.80516 491.29 9782.5
244.9 0.80779 492.97 9778
245 0.81042 494.65 9773.5
245.1 0.81305 496.34 9769
245.2 0.81569 498.04 9764.5
245.3 0.81834 499.74 9760
245.4 0.821 501.44 9755.5
245.5 0.82366 503.15 9751
245.6 0.82633 504.87 9746.4
245.7 0.829 506.59 9741.9
245.8 0.83168 508.32 9737.4
245.9 0.83437 510.05 9732.8
246 0.83706 511.79 9728.3
246.1 0.83976 513.53 9723.7
246.2 0.84247 515.28 9719.2
246.3 0.84518 517.03 9714.6
246.4 0.8479 518.79 9710.1
246.5 0.85063 520.56 9705.5
246.6 0.85336 522.33 9700.9
246.7 0.8561 524.1 9696.4
246.8 0.85885 525.88 9691.8
246.9 0.8616 527.67 9687.2
247 0.86436 529.46 9682.6
247.1 0.86712 531.26 9678
247.2 0.86989 533.06 9673.4
247.3 0.87267 534.87 9668.8
247.4 0.87546 536.68 9664.2
247.5 0.87825 538.5 9659.6
247.6 0.88104 540.33 9654.9
247.7 0.88385 542.16 9650.3
247.8 0.88666 543.99 9645.7
247.9 0.88948 545.83 9641
248 0.8923 547.68 9636.4
248.1 0.89513 549.54 9631.7
248.2 0.89797 551.4 9627.1
248.3 0.90082 553.26 9622.4
248.4 0.90367 555.13 9617.7
248.5 0.90652 557.01 9613.1
248.6 0.90939 558.89 9608.4
248.7 0.91226 560.78 9603.7
248.8 0.91514 562.67 9599
248.9 0.91802 564.57 9594.3
249 0.92091 566.48 9589.6
249.1 0.92381 568.39 9584.9
249.2 0.92672 570.31 9580.2
249.3 0.92963 572.23 9575.5
249.4 0.93255 574.16 9570.8
249.5 0.93547 576.1 9566.1
249.6 0.93841 578.04 9561.3
249.7 0.94134 579.99 9556.6
249.8 0.94429 581.94 9551.8
249.9 0.94724 583.9 9547.1
250 0.9502 585.87 9542.3
250.1 0.95317 587.84 9537.6
250.2 0.95614 589.82 9532.8
250.3 0.95912 591.8 9528
250.4 0.96211 593.79 9523.3
