X_1 Y_1 p_(Pa)
14  
0 0 334000
0.11 0.6411 966000
0.1304 0.6807 1091000
0.2263 0.7782 1610000
0.2947 0.8244 2055000
0.3938 0.8574 2651000
0.5885 0.899 3826000
0.67 0.9101 4382000
0.7137 0.9134 4656000
0.7477 0.9162 4841000
0.7944 0.917 5182000
0.8149 0.9177 5330000
0.8218 0.9179 5378000
0.8552 0.9151 5582000
