"Temperature_(K)" "Pressure_(MPa)" "Vap._Density_(mol/m3)" "Liq._Density_(mol/m3)"
1677
172.52 0.002914 2.0381 14086
172.6 0.0029357 2.0523 14084
172.7 0.002963 2.0702 14082
172.8 0.0029904 2.0883 14079
172.9 0.0030181 2.1064 14076
173 0.003046 2.1247 14074
173.1 0.0030741 2.1432 14071
173.2 0.0031025 2.1617 14068
173.3 0.0031311 2.1804 14066
173.4 0.0031599 2.1993 14063
173.5 0.0031889 2.2182 14060
173.6 0.0032181 2.2373 14057
173.7 0.0032476 2.2566 14055
173.8 0.0032773 2.276 14052
173.9 0.0033072 2.2955 14049
174 0.0033374 2.3151 14047
174.1 0.0033678 2.3349 14044
174.2 0.0033984 2.3549 14041
174.3 0.0034292 2.375 14039
174.4 0.0034603 2.3952 14036
174.5 0.0034917 2.4156 14033
174.6 0.0035233 2.4361 14031
174.7 0.0035551 2.4567 14028
174.8 0.0035871 2.4775 14025
174.9 0.0036195 2.4985 14023
175 0.003652 2.5196 14020
175.1 0.0036848 2.5408 14017
175.2 0.0037179 2.5622 14014
175.3 0.0037512 2.5838 14012
175.4 0.0037847 2.6054 14009
175.5 0.0038185 2.6273 14006
175.6 0.0038526 2.6493 14004
175.7 0.0038869 2.6714 14001
175.8 0.0039215 2.6938 13998
175.9 0.0039563 2.7162 13996
176 0.0039914 2.7388 13993
176.1 0.0040268 2.7616 13990
176.2 0.0040624 2.7845 13988
176.3 0.0040983 2.8076 13985
176.4 0.0041345 2.8309 13982
176.5 0.0041709 2.8543 13979
176.6 0.0042076 2.8778 13977
176.7 0.0042446 2.9016 13974
176.8 0.0042818 2.9255 13971
176.9 0.0043193 2.9495 13969
177 0.0043572 2.9737 13966
177.1 0.0043952 2.9981 13963
177.2 0.0044336 3.0227 13961
177.3 0.0044722 3.0474 13958
177.4 0.0045112 3.0723 13955
177.5 0.0045504 3.0973 13953
177.6 0.0045899 3.1225 13950
177.7 0.0046297 3.1479 13947
177.8 0.0046697 3.1735 13944
177.9 0.0047101 3.1992 13942
178 0.0047508 3.2251 13939
178.1 0.0047917 3.2512 13936
178.2 0.004833 3.2774 13934
178.3 0.0048746 3.3039 13931
178.4 0.0049164 3.3305 13928
178.5 0.0049586 3.3573 13926
178.6 0.0050011 3.3842 13923
178.7 0.0050438 3.4114 13920
178.8 0.0050869 3.4387 13917
178.9 0.0051303 3.4662 13915
179 0.005174 3.4939 13912
179.1 0.005218 3.5217 13909
179.2 0.0052623 3.5498 13907
179.3 0.005307 3.578 13904
179.4 0.0053519 3.6065 13901
179.5 0.0053972 3.6351 13899
179.6 0.0054428 3.6639 13896
179.7 0.0054888 3.6928 13893
179.8 0.005535 3.722 13890
179.9 0.0055816 3.7514 13888
180 0.0056285 3.7809 13885
180.1 0.0056758 3.8107 13882
180.2 0.0057233 3.8406 13880
180.3 0.0057712 3.8707 13877
180.4 0.0058195 3.9011 13874
180.5 0.0058681 3.9316 13871
180.6 0.005917 3.9623 13869
180.7 0.0059663 3.9932 13866
180.8 0.0060159 4.0243 13863
180.9 0.0060658 4.0557 13861
181 0.0061161 4.0872 13858
181.1 0.0061668 4.1189 13855
181.2 0.0062178 4.1508 13852
181.3 0.0062692 4.183 13850
181.4 0.0063209 4.2153 13847
181.5 0.006373 4.2478 13844
181.6 0.0064254 4.2806 13842
181.7 0.0064782 4.3135 13839
181.8 0.0065313 4.3467 13836
181.9 0.0065849 4.3801 13834
182 0.0066388 4.4136 13831
182.1 0.006693 4.4474 13828
182.2 0.0067476 4.4814 13825
182.3 0.0068027 4.5157 13823
182.4 0.006858 4.5501 13820
182.5 0.0069138 4.5847 13817
182.6 0.0069699 4.6196 13815
182.7 0.0070264 4.6547 13812
182.8 0.0070833 4.69 13809
182.9 0.0071406 4.7255 13806
183 0.0071983 4.7613 13804
183.1 0.0072564 4.7972 13801
183.2 0.0073148 4.8334 13798
183.3 0.0073737 4.8699 13796
183.4 0.0074329 4.9065 13793
183.5 0.0074926 4.9434 13790
183.6 0.0075526 4.9805 13787
183.7 0.007613 5.0178 13785
183.8 0.0076739 5.0553 13782
183.9 0.0077351 5.0931 13779
184 0.0077968 5.1311 13776
184.1 0.0078589 5.1694 13774
184.2 0.0079213 5.2079 13771
184.3 0.0079842 5.2466 13768
184.4 0.0080476 5.2855 13766
184.5 0.0081113 5.3247 13763
184.6 0.0081754 5.3642 13760
184.7 0.00824 5.4038 13757
184.8 0.008305 5.4437 13755
184.9 0.0083705 5.4839 13752
185 0.0084363 5.5243 13749
185.1 0.0085026 5.5649 13747
185.2 0.0085693 5.6058 13744
185.3 0.0086365 5.6469 13741
185.4 0.0087041 5.6883 13738
185.5 0.0087721 5.7299 13736
185.6 0.0088406 5.7718 13733
185.7 0.0089096 5.8139 13730
185.8 0.0089789 5.8563 13727
185.9 0.0090488 5.8989 13725
186 0.009119 5.9418 13722
186.1 0.0091898 5.9849 13719
186.2 0.009261 6.0283 13717
186.3 0.0093326 6.0719 13714
186.4 0.0094047 6.1158 13711
186.5 0.0094773 6.16 13708
186.6 0.0095503 6.2044 13706
186.7 0.0096238 6.2491 13703
186.8 0.0096978 6.2941 13700
186.9 0.0097723 6.3393 13697
187 0.0098472 6.3848 13695
187.1 0.0099226 6.4305 13692
187.2 0.0099985 6.4765 13689
187.3 0.010075 6.5228 13687
187.4 0.010152 6.5694 13684
187.5 0.010229 6.6162 13681
187.6 0.010307 6.6633 13678
187.7 0.010385 6.7106 13676
187.8 0.010464 6.7583 13673
187.9 0.010543 6.8062 13670
188 0.010623 6.8544 13667
188.1 0.010703 6.9029 13665
188.2 0.010784 6.9516 13662
188.3 0.010866 7.0007 13659
188.4 0.010947 7.05 13656
188.5 0.01103 7.0996 13654
188.6 0.011113 7.1495 13651
188.7 0.011196 7.1996 13648
188.8 0.01128 7.2501 13645
188.9 0.011364 7.3008 13643
189 0.011449 7.3519 13640
189.1 0.011535 7.4032 13637
189.2 0.011621 7.4548 13635
189.3 0.011707 7.5067 13632
189.4 0.011794 7.5589 13629
189.5 0.011882 7.6114 13626
189.6 0.01197 7.6642 13624
189.7 0.012058 7.7173 13621
