X_1 Y_1 p_(Pa)
15  
0.0245 0.1618 1034214
0.0742 0.3589 1378952
0.1274 0.4812 1723690
0.1834 0.5634 2068428
0.2423 0.6235 2413166
0.3048 0.6718 2757904
0.3727 0.7148 3102642
0.4443 0.7518 3447380
0.5178 0.7814 3792118
0.5937 0.8092 4136856
0.6722 0.8368 4481594
0.7516 0.8673 4826332
0.8275 0.9011 5171070
0.9046 0.9417 5515808
0.9805 0.9874 5860546
