"Temperature_(K)" "Pressure_(MPa)" "Vap._Density_(mol/m3)" "Liq._Density_(mol/m3)"
2645
87.953 7.47E-10 1.02E-06 18255
88.073 7.83E-10 1.07E-06 18251
88.193 8.19E-10 1.12E-06 18248
88.313 8.57E-10 1.17E-06 18244
88.433 8.98E-10 1.22E-06 18241
88.553 9.39E-10 1.28E-06 18238
88.673 9.82E-10 1.33E-06 18234
88.794 1.03E-09 1.39E-06 18231
88.914 1.07E-09 1.45E-06 18227
89.034 1.12E-09 1.52E-06 18224
89.154 1.18E-09 1.59E-06 18221
89.274 1.23E-09 1.66E-06 18217
89.394 1.28E-09 1.73E-06 18214
89.514 1.34E-09 1.80E-06 18211
89.634 1.40E-09 1.88E-06 18207
89.754 1.47E-09 1.97E-06 18204
89.874 1.53E-09 2.05E-06 18200
89.994 1.60E-09 2.14E-06 18197
90.114 1.67E-09 2.23E-06 18194
90.234 1.75E-09 2.33E-06 18190
90.355 1.83E-09 2.43E-06 18187
90.475 1.90E-09 2.53E-06 18184
90.595 1.99E-09 2.64E-06 18180
90.715 2.08E-09 2.75E-06 18177
90.835 2.17E-09 2.87E-06 18173
90.955 2.26E-09 2.99E-06 18170
91.075 2.36E-09 3.12E-06 18167
91.195 2.46E-09 3.25E-06 18163
91.315 2.57E-09 3.39E-06 18160
91.435 2.68E-09 3.53E-06 18157
91.555 2.80E-09 3.68E-06 18153
91.675 2.92E-09 3.83E-06 18150
91.796 3.04E-09 3.99E-06 18147
91.916 3.17E-09 4.15E-06 18143
92.036 3.31E-09 4.32E-06 18140
92.156 3.45E-09 4.50E-06 18136
92.276 3.60E-09 4.69E-06 18133
92.396 3.75E-09 4.88E-06 18130
92.516 3.91E-09 5.08E-06 18126
92.636 4.07E-09 5.28E-06 18123
92.756 4.24E-09 5.50E-06 18120
92.876 4.41E-09 5.72E-06 18116
92.996 4.60E-09 5.95E-06 18113
93.116 4.79E-09 6.19E-06 18110
93.236 4.99E-09 6.43E-06 18106
93.357 5.19E-09 6.69E-06 18103
93.477 5.41E-09 6.96E-06 18100
93.597 5.63E-09 7.23E-06 18096
93.717 5.86E-09 7.52E-06 18093
93.837 6.10E-09 7.82E-06 18089
93.957 6.35E-09 8.12E-06 18086
94.077 6.60E-09 8.44E-06 18083
94.197 6.87E-09 8.77E-06 18079
94.317 7.15E-09 9.11E-06 18076
94.437 7.44E-09 9.47E-06 18073
94.557 7.73E-09 9.83E-06 18069
94.677 8.04E-09 1.02E-05 18066
94.797 8.36E-09 1.06E-05 18063
94.918 8.69E-09 1.10E-05 18059
95.038 9.04E-09 1.14E-05 18056
95.158 9.39E-09 1.19E-05 18053
95.278 9.76E-09 1.23E-05 18049
95.398 1.01E-08 1.28E-05 18046
95.518 1.05E-08 1.33E-05 18043
95.638 1.10E-08 1.38E-05 18039
95.758 1.14E-08 1.43E-05 18036
95.878 1.18E-08 1.48E-05 18033
95.998 1.23E-08 1.54E-05 18029
96.118 1.28E-08 1.60E-05 18026
96.238 1.33E-08 1.66E-05 18023
96.358 1.38E-08 1.72E-05 18019
96.479 1.43E-08 1.78E-05 18016
96.599 1.48E-08 1.85E-05 18013
96.719 1.54E-08 1.91E-05 18009
96.839 1.60E-08 1.98E-05 18006
96.959 1.66E-08 2.06E-05 18003
97.079 1.72E-08 2.13E-05 17999
97.199 1.79E-08 2.21E-05 17996
97.319 1.85E-08 2.29E-05 17993
97.439 1.92E-08 2.37E-05 17989
97.559 1.99E-08 2.46E-05 17986
97.679 2.07E-08 2.55E-05 17983
97.799 2.15E-08 2.64E-05 17980
97.92 2.22E-08 2.73E-05 17976
98.04 2.31E-08 2.83E-05 17973
98.16 2.39E-08 2.93E-05 17970
98.28 2.48E-08 3.03E-05 17966
98.4 2.57E-08 3.14E-05 17963
98.52 2.66E-08 3.25E-05 17960
98.64 2.76E-08 3.37E-05 17956
98.76 2.86E-08 3.49E-05 17953
98.88 2.97E-08 3.61E-05 17950
99 3.07E-08 3.73E-05 17946
99.12 3.18E-08 3.86E-05 17943
99.24 3.30E-08 4.00E-05 17940
99.36 3.42E-08 4.14E-05 17936
99.481 3.54E-08 4.28E-05 17933
99.601 3.66E-08 4.43E-05 17930
99.721 3.79E-08 4.58E-05 17926
99.841 3.93E-08 4.73E-05 17923
99.961 4.07E-08 4.89E-05 17920
100.08 4.21E-08 5.06E-05 17917
100.2 4.36E-08 5.23E-05 17913
100.32 4.51E-08 5.41E-05 17910
100.44 4.67E-08 5.59E-05 17907
100.56 4.83E-08 5.78E-05 17903
100.68 5.00E-08 5.97E-05 17900
100.8 5.18E-08 6.17E-05 17897
100.92 5.35E-08 6.38E-05 17893
101.04 5.54E-08 6.59E-05 17890
101.16 5.73E-08 6.81E-05 17887
101.28 5.93E-08 7.04E-05 17884
101.4 6.13E-08 7.27E-05 17880
101.52 6.34E-08 7.51E-05 17877
101.64 6.55E-08 7.76E-05 17874
101.76 6.78E-08 8.01E-05 17870
101.88 7.01E-08 8.27E-05 17867
102 7.24E-08 8.54E-05 17864
102.12 7.49E-08 8.82E-05 17860
102.24 7.74E-08 9.10E-05 17857
102.36 8.00E-08 9.40E-05 17854
102.48 8.27E-08 9.70E-05 17851
102.6 8.54E-08 0.00010012 17847
102.72 8.83E-08 0.00010333 17844
102.84 9.12E-08 0.00010663 17841
102.96 9.42E-08 0.00011003 17837
103.08 9.73E-08 0.00011353 17834
103.2 1.01E-07 0.00011713 17831
103.32 1.04E-07 0.00012083 17828
103.44 1.07E-07 0.00012464 17824
103.56 1.11E-07 0.00012856 17821
103.68 1.14E-07 0.0001326 17818
103.8 1.18E-07 0.00013674 17814
103.92 1.22E-07 0.00014101 17811
104.04 1.26E-07 0.0001454 17808
104.16 1.30E-07 0.00014991 17805
104.28 1.34E-07 0.00015455 17801
104.4 1.38E-07 0.00015932 17798
104.52 1.43E-07 0.00016423 17795
104.64 1.47E-07 0.00016927 17791
104.76 1.52E-07 0.00017445 17788
104.88 1.57E-07 0.00017978 17785
105 1.62E-07 0.00018526 17782
105.12 1.67E-07 0.00019089 17778
105.24 1.72E-07 0.00019667 17775
105.36 1.78E-07 0.00020262 17772
105.48 1.83E-07 0.00020873 17769
105.6 1.89E-07 0.000215 17765
105.72 1.95E-07 0.00022145 17762
105.84 2.01E-07 0.00022807 17759
105.96 2.07E-07 0.00023488 17755
106.08 2.13E-07 0.00024187 17752
106.2 2.20E-07 0.00024904 17749
106.32 2.27E-07 0.00025642 17746
106.45 2.34E-07 0.00026399 17742
106.57 2.41E-07 0.00027176 17739
106.69 2.48E-07 0.00027974 17736
106.81 2.56E-07 0.00028794 17733
106.93 2.63E-07 0.00029635 17729
107.05 2.71E-07 0.00030499 17726
107.17 2.80E-07 0.00031385 17723
107.29 2.88E-07 0.00032295 17719
107.41 2.97E-07 0.00033229 17716
107.53 3.06E-07 0.00034187 17713
107.65 3.15E-07 0.00035171 17710
107.77 3.24E-07 0.0003618 17706
107.89 3.34E-07 0.00037216 17703
108.01 3.44E-07 0.00038278 17700
108.13 3.54E-07 0.00039368 17697
108.25 3.64E-07 0.00040487 17693
108.37 3.75E-07 0.00041633 17690
108.49 3.86E-07 0.0004281 17687
108.61 3.97E-07 0.00044017 17684
108.73 4.09E-07 0.00045254 17680
108.85 4.21E-07 0.00046523 17677
108.97 4.33E-07 0.00047824 17674
109.09 4.46E-07 0.00049159 17671
109.21 4.59E-07 0.00050527 17667
109.33 4.72E-07 0.00051929 17664
109.45 4.86E-07 0.00053367 17661
109.57 5.00E-07 0.00054841 17657
109.69 5.14E-07 0.00056352 17654
109.81 5.29E-07 0.00057901 17651
109.93 5.44E-07 0.00059488 17648
110.05 5.59E-07 0.00061114 17644
110.17 5.75E-07 0.00062781 17641
110.29 5.91E-07 0.00064489 17638
110.41 6.08E-07 0.00066239 17635
110.53 6.25E-07 0.00068031 17631
110.65 6.43E-07 0.00069868 17628
110.77 6.61E-07 0.0007175 17625
110.89 6.79E-07 0.00073677 17622
111.01 6.98E-07 0.00075652 17618
111.13 7.18E-07 0.00077674 17615
111.25 7.38E-07 0.00079745 17612
111.37 7.58E-07 0.00081866 17609
111.49 7.79E-07 0.00084038 17605
111.61 8.00E-07 0.00086262 17602
111.73 8.23E-07 0.00088539 17599
111.85 8.45E-07 0.00090871 17596
111.97 8.68E-07 0.00093258 17592
112.09 8.92E-07 0.00095702 17589
112.21 9.16E-07 0.00098203 17586
112.33 9.41E-07 0.0010076 17583
112.45 9.67E-07 0.0010338 17579
112.57 9.93E-07 0.0010607 17576
112.69 1.02E-06 0.0010881 17573
112.81 1.05E-06 0.0011162 17570
112.93 1.08E-06 0.001145 17566
113.05 1.10E-06 0.0011744 17563
113.17 1.13E-06 0.0012045 17560
113.29 1.16E-06 0.0012353 17557
113.41 1.19E-06 0.0012668 17554
113.53 1.23E-06 0.001299 17550
113.65 1.26E-06 0.001332 17547
113.77 1.29E-06 0.0013657 17544
