"Temperature_(K)" "Pressure_(MPa)" "Vap._Density_(mol/m3)" "Liq._Density_(mol/m3)"
2837
278.67 0.0047846 2.0719 11445
278.7 0.0047914 2.0747 11444
278.8 0.0048175 2.0852 11443
278.9 0.0048437 2.0959 11442
279 0.00487 2.1065 11440
279.1 0.0048965 2.1173 11439
279.2 0.004923 2.128 11438
279.3 0.0049497 2.1388 11436
279.4 0.0049766 2.1497 11435
279.5 0.0050035 2.1606 11434
279.6 0.0050306 2.1715 11432
279.7 0.0050577 2.1825 11431
279.8 0.0050851 2.1935 11430
279.9 0.0051125 2.2046 11428
280 0.00514 2.2157 11427
280.1 0.0051677 2.2269 11426
280.2 0.0051955 2.2381 11424
280.3 0.0052235 2.2494 11423
280.4 0.0052515 2.2607 11422
280.5 0.0052797 2.272 11420
280.6 0.005308 2.2835 11419
280.7 0.0053364 2.2949 11418
280.8 0.005365 2.3064 11416
280.9 0.0053937 2.3179 11415
281 0.0054225 2.3295 11414
281.1 0.0054515 2.3412 11412
281.2 0.0054805 2.3529 11411
281.3 0.0055098 2.3646 11410
281.4 0.0055391 2.3764 11408
281.5 0.0055686 2.3882 11407
281.6 0.0055982 2.4001 11406
281.7 0.0056279 2.412 11404
281.8 0.0056578 2.424 11403
281.9 0.0056878 2.436 11402
282 0.0057179 2.4481 11400
282.1 0.0057482 2.4602 11399
282.2 0.0057786 2.4724 11398
282.3 0.0058091 2.4846 11396
282.4 0.0058398 2.4969 11395
282.5 0.0058706 2.5092 11394
282.6 0.0059015 2.5216 11392
282.7 0.0059326 2.534 11391
282.8 0.0059638 2.5465 11390
282.9 0.0059952 2.559 11388
283 0.0060267 2.5716 11387
283.1 0.0060583 2.5842 11386
283.2 0.0060901 2.5969 11384
283.3 0.006122 2.6096 11383
283.4 0.006154 2.6224 11382
283.5 0.0061862 2.6353 11380
283.6 0.0062185 2.6481 11379
283.7 0.006251 2.6611 11378
283.8 0.0062836 2.6741 11376
283.9 0.0063164 2.6871 11375
284 0.0063492 2.7002 11374
284.1 0.0063823 2.7133 11372
284.2 0.0064155 2.7265 11371
284.3 0.0064488 2.7398 11370
284.4 0.0064823 2.7531 11368
284.5 0.0065159 2.7664 11367
284.6 0.0065496 2.7798 11366
284.7 0.0065835 2.7933 11364
284.8 0.0066176 2.8068 11363
284.9 0.0066518 2.8204 11362
285 0.0066861 2.834 11360
285.1 0.0067206 2.8476 11359
285.2 0.0067553 2.8614 11358
285.3 0.0067901 2.8752 11356
285.4 0.006825 2.889 11355
285.5 0.0068601 2.9029 11354
285.6 0.0068954 2.9168 11352
285.7 0.0069308 2.9308 11351
285.8 0.0069663 2.9449 11350
285.9 0.007002 2.959 11348
286 0.0070379 2.9732 11347
286.1 0.0070739 2.9874 11346
286.2 0.00711 3.0016 11344
286.3 0.0071463 3.016 11343
286.4 0.0071828 3.0304 11342
