X_1 Y_1 p_(Pa)
10  
0.05764192139738 0.118777292576419 2029765.88628763
0.183406113537118 0.302183406113537 2416053.51170569
0.295196506550218 0.419213973799127 2665217.39130435
0.363318777292576 0.476855895196506 2783946.48829431
0.448908296943231 0.537991266375546 2909364.54849498
0.57292576419214 0.620087336244541 3013043.47826087
0.68296943231441 0.691703056768559 3051505.01672241
0.791266375545852 0.766812227074236 3033110.36789298
0.878602620087336 0.838427947598253 2962876.2541806
0.957205240174672 0.918777292576419 2824080.26755853
