#T = 293.15 K
#pressure (bar)	loading(mmol/g)
0.205658000	0.978312338
0.226249000	1.046922184
0.246871000	1.109876709
0.267581000	1.166322702
0.288022000	1.220369874
0.308685000	1.268163138
0.329190000	1.311797552
0.349639000	1.353216296
0.369912000	1.391695703
0.390410000	1.426529974
0.410935000	1.458679532
0.431101000	1.490337711
0.451727000	1.517095506
0.472074000	1.542669526
0.492252000	1.568605378
0.512719000	1.590217100
0.532925000	1.611846690
0.553159000	1.633337800
0.573518000	1.653211829
0.593829000	1.670651300
0.614105000	1.688242652
0.634313000	1.703747878
0.654472000	1.720168856
0.674923000	1.734101671
0.695090000	1.746377200
0.715197000	1.761149826
0.735717000	1.770164388
0.755808000	1.782408648
0.776088000	1.791074779
0.796297000	1.802613240
0.816647000	1.810457429
0.836770000	1.819413919
0.856912000	1.827664612
0.877253000	1.834499241
0.897488000	1.843107299
0.917743000	1.849352274
0.937852000	1.857415349
0.958064000	1.866581792
0.978440000	1.872442598
0.998569000	1.878267667
-------------------------------------------------------------------
