#T = 293.15 K
#pressure (bar)	loading(mmol/g)
8.5085093	5.389180389
8.5585594	5.391121017
8.6086094	5.393041801
8.6586595	5.394943045
8.7087095	5.396825045
8.7587596	5.398688092
8.8088096	5.400532472
8.8588597	5.402358463
8.9089097	5.404166339
8.9589598	5.405956369
9.0090098	5.407728816
9.0590599	5.409483938
9.1091099	5.411221987
9.1591600	5.412943212
9.2092100	5.414647856
9.2592601	5.416336157
9.3093101	5.418008349
9.3593602	5.419664663
9.4094102	5.421305322
9.4594603	5.422930549
9.5095103	5.424540560
9.5595604	5.426135568
9.6096104	5.427715781
9.6596605	5.429281405
9.7097105	5.430832641
9.7597606	5.432369686
9.8098106	5.433892734
9.8598607	5.435401976
9.9099107	5.436897598
9.9599608	5.438379785
10.0100108	5.439848716
10.0600609	5.441304569
10.1101109	5.442747517
10.1601610	5.444177732
10.2102110	5.445595381
10.2602611	5.447000629
10.3103111	5.448393639
10.3603612	5.449774569
10.4104112	5.451143577
10.4604613	5.452500815
10.5105113	5.453846435
10.5605613	5.455180586
10.6106114	5.456503413
10.6606614	5.457815061
10.7107115	5.459115670
10.7607615	5.460405380
10.8108116	5.461684327
10.8608616	5.462952644
10.9109117	5.464210464
10.9609617	5.465457917
11.0110118	5.466695131
11.0610618	5.467922231
11.1111119	5.469139340
11.1611619	5.470346581
11.2112120	5.471544073
11.2612620	5.472731932
11.3113121	5.473910277
11.3613621	5.475079219
11.4114122	5.476238871
11.4614622	5.477389344
11.5115123	5.478530747
11.5615623	5.479663185
11.6116124	5.480786765
11.6616624	5.481901589
11.7117125	5.483007760
11.7617625	5.484105379
11.8118126	5.485194543
11.8618626	5.486275351
11.9119127	5.487347898
11.9619627	5.488412279
12.0120128	5.489468586
12.0620628	5.490516911
12.1121129	5.491557344
12.1621629	5.492589975
12.2122130	5.493614890
12.2622630	5.494632175
12.3123131	5.495641916
12.3623631	5.496644196
12.4124132	5.497639098
12.4624632	5.498626703
12.5125133	5.499607090
12.5625633	5.500580339
12.6126134	5.501546528
12.6626634	5.502505732
12.7127135	5.503458028
12.7627635	5.504403489
12.8128136	5.505342190
12.8628636	5.506274202
12.9129137	5.507199596
12.9629637	5.508118444
13.0130138	5.509030813
13.0630638	5.509936773
13.1131139	5.510836391
13.1631639	5.511729733
13.2132139	5.512616864
13.2632640	5.513497850
13.3133140	5.514372753
13.3633641	5.515241637
13.4134141	5.516104563
13.4634642	5.516961593
13.5135142	5.517812787
13.5635643	5.518658203
13.6136143	5.519497902
13.6636644	5.520331940
13.7137144	5.521160376
13.7637645	5.521983264
13.8138145	5.522800660
13.8638646	5.523612620
13.9139146	5.524419198
13.9639647	5.525220446
14.0140147	5.526016418
14.0640648	5.526807165
14.1141148	5.527592738
14.1641649	5.528373189
14.2142149	5.529148568
14.2642650	5.529918922
14.3143150	5.530684302
14.3643651	5.531444756
14.4144151	5.532200329
14.4644652	5.532951071
14.5145152	5.533697026
14.5645653	5.534438241
14.6146153	5.535174760
14.6646654	5.535906627
14.7147154	5.536633888
14.7647655	5.537356585
14.8148155	5.538074761
14.8648656	5.538788458
14.9149156	5.539497718
14.9649657	5.540202583
15.0150157	5.540903093
15.0650658	5.541599288
15.1151158	5.542291208
15.1651659	5.542978893
15.2152159	5.543662380
15.2652660	5.544341710
15.3153160	5.545016918
15.3653661	5.545688043
15.4154161	5.546355122
15.4654662	5.547018191
15.5155162	5.547677286
15.5655663	5.548332442
15.6156163	5.548983696
15.6656664	5.549631081
15.7157164	5.550274633
15.7657665	5.550914384
15.8158165	5.551550370
15.8658665	5.552182622
15.9159166	5.552811173
15.9659666	5.553436057
16.0160167	5.554057305
16.0660667	5.554674948
16.1161168	5.555289018
16.1661668	5.555899546
16.2162169	5.556506563
16.2662669	5.557110098
16.3163170	5.557710181
16.3663670	5.558306843
16.4164171	5.558900112
16.4664671	5.559490017
16.5165172	5.560076586
16.5665672	5.560659849
16.6166173	5.561239832
16.6666673	5.561816563
16.7167174	5.562390070
16.7667674	5.562960380
16.8168175	5.563527518
16.8668675	5.564091513
16.9169176	5.564652388
16.9669676	5.565210172
17.0170177	5.565764888
17.0670677	5.566316563
17.1171178	5.566865221
17.1671678	5.567410886
17.2172179	5.567953584
17.2672679	5.568493338
17.3173180	5.569030173
17.3673680	5.569564111
17.4174181	5.570095177
17.4674681	5.570623393
17.5175182	5.571148782
17.5675682	5.571671368
17.6176183	5.572191171
17.6676683	5.572708215
17.7177184	5.573222522
17.7677684	5.573734112
17.8178185	5.574243008
17.8678685	5.574749231
17.9179186	5.575252802
17.9679686	5.575753741
18.0180187	5.576252070
18.0680687	5.576747808
18.1181188	5.577240975
18.1681688	5.577731592
18.2182189	5.578219679
18.2682689	5.578705254
18.3183190	5.579188338
18.3683690	5.579668948
18.4184191	5.580147106
18.4684691	5.580622828
18.5185191	5.581096133
18.5685692	5.581567041
18.6186192	5.582035569
18.6686693	5.582501735
18.7187193	5.582965556
18.7687694	5.583427052
18.8188194	5.583886238
18.8688695	5.584343133
18.9189195	5.584797753
18.9689696	5.585250115
19.0190196	5.585700237
19.0690697	5.586148135
19.1191197	5.586593824
19.1691698	5.587037322
19.2192198	5.587478645
19.2692699	5.587917808
19.3193199	5.588354828
19.3693700	5.588789720
19.4194200	5.589222499
19.4694701	5.589653182
19.5195201	5.590081782
19.5695702	5.590508316
19.6196202	5.590932797
