"Temperature_(K)" "Pressure_(MPa)" "Vap._Density_(mol/m3)" "Liq._Density_(mol/m3)"
3303
177.83 0.000001189 0.00080415 8801.6
177.9 0.0000012012 0.00081213 8800.9
178 0.000001219 0.00082365 8799.9
178.1 0.0000012369 0.00083532 8798.9
178.2 0.0000012551 0.00084714 8797.9
178.3 0.0000012736 0.00085911 8796.9
178.4 0.0000012923 0.00087123 8795.9
178.5 0.0000013112 0.00088351 8795
178.6 0.0000013304 0.00089594 8794
178.7 0.0000013499 0.00090853 8793
178.8 0.0000013696 0.00092129 8792
178.9 0.0000013896 0.0009342 8791
179 0.0000014098 0.00094728 8790
179.1 0.0000014303 0.00096052 8789
179.2 0.0000014511 0.00097393 8788.1
179.3 0.0000014722 0.00098751 8787.1
179.4 0.0000014935 0.0010013 8786.1
179.5 0.0000015151 0.0010152 8785.1
179.6 0.000001537 0.0010293 8784.1
179.7 0.0000015592 0.0010436 8783.1
179.8 0.0000015817 0.001058 8782.1
179.9 0.0000016044 0.0010727 8781.2
180 0.0000016275 0.0010875 8780.2
180.1 0.0000016509 0.0011025 8779.2
180.2 0.0000016746 0.0011177 8778.2
180.3 0.0000016986 0.0011331 8777.2
180.4 0.0000017229 0.0011486 8776.2
180.5 0.0000017475 0.0011644 8775.3
180.6 0.0000017724 0.0011804 8774.3
180.7 0.0000017977 0.0011965 8773.3
180.8 0.0000018233 0.0012129 8772.3
180.9 0.0000018492 0.0012294 8771.3
181 0.0000018754 0.0012462 8770.3
181.1 0.000001902 0.0012632 8769.3
181.2 0.000001929 0.0012804 8768.4
181.3 0.0000019562 0.0012978 8767.4
181.4 0.0000019839 0.0013154 8766.4
181.5 0.0000020119 0.0013332 8765.4
181.6 0.0000020402 0.0013512 8764.4
181.7 0.0000020689 0.0013695 8763.4
181.8 0.000002098 0.001388 8762.5
181.9 0.0000021274 0.0014067 8761.5
182 0.0000021572 0.0014256 8760.5
182.1 0.0000021874 0.0014448 8759.5
182.2 0.000002218 0.0014642 8758.5
182.3 0.000002249 0.0014838 8757.5
182.4 0.0000022804 0.0015037 8756.6
182.5 0.0000023121 0.0015238 8755.6
182.6 0.0000023443 0.0015441 8754.6
182.7 0.0000023769 0.0015647 8753.6
182.8 0.0000024098 0.0015856 8752.6
182.9 0.0000024432 0.0016066 8751.6
183 0.000002477 0.001628 8750.7
183.1 0.0000025113 0.0016496 8749.7
183.2 0.000002546 0.0016715 8748.7
183.3 0.0000025811 0.0016936 8747.7
183.4 0.0000026166 0.001716 8746.7
183.5 0.0000026526 0.0017386 8745.7
183.6 0.000002689 0.0017615 8744.8
183.7 0.0000027259 0.0017847 8743.8
183.8 0.0000027633 0.0018082 8742.8
183.9 0.0000028011 0.0018319 8741.8
184 0.0000028393 0.001856 8740.8
184.1 0.0000028781 0.0018803 8739.8
184.2 0.0000029173 0.0019049 8738.9
184.3 0.0000029571 0.0019298 8737.9
184.4 0.0000029973 0.001955 8736.9
184.5 0.000003038 0.0019804 8735.9
184.6 0.0000030792 0.0020062 8734.9
184.7 0.0000031209 0.0020323 8733.9
184.8 0.0000031631 0.0020587 8733
184.9 0.0000032059 0.0020854 8732
185 0.0000032491 0.0021124 8731
185.1 0.0000032929 0.0021397 8730
185.2 0.0000033373 0.0021673 8729
185.3 0.0000033821 0.0021953 8728
