"Temperature_(K)" "Pressure_(MPa)" "Vap._Density_(mol/m3)" "Liq._Density_(mol/m3)"
153.9 0.00052221 0.40861 26652
154 0.00052842 0.4132 26647
154.1 0.00053469 0.41784 26642
154.2 0.00054103 0.42252 26637
154.3 0.00054743 0.42725 26633
154.4 0.0005539 0.43203 26628
154.5 0.00056043 0.43684 26623
154.6 0.00056704 0.44171 26619
154.7 0.00057371 0.44662 26614
154.8 0.00058045 0.45158 26609
154.9 0.00058725 0.45659 26604
155 0.00059413 0.46164 26600
155.1 0.00060108 0.46674 26595
155.2 0.0006081 0.4719 26590
155.3 0.00061519 0.4771 26586
155.4 0.00062235 0.48234 26581
155.5 0.00062958 0.48764 26576
155.6 0.00063689 0.49299 26572
155.7 0.00064427 0.49839 26567
155.8 0.00065173 0.50384 26562
155.9 0.00065926 0.50934 26557
156 0.00066687 0.51489 26553
156.1 0.00067455 0.5205 26548
156.2 0.00068231 0.52616 26543
156.3 0.00069015 0.53187 26539
156.4 0.00069806 0.53763 26534
156.5 0.00070606 0.54345 26529
156.6 0.00071413 0.54932 26524
156.7 0.00072229 0.55524 26520
156.8 0.00073052 0.56122 26515
156.9 0.00073884 0.56726 26510
157 0.00074724 0.57335 26506
157.1 0.00075572 0.57949 26501
157.2 0.00076429 0.5857 26496
157.3 0.00077294 0.59196 26491
157.4 0.00078167 0.59827 26487
157.5 0.00079049 0.60465 26482
157.6 0.0007994 0.61108 26477
157.7 0.0008084 0.61757 26473
157.8 0.00081748 0.62413 26468
157.9 0.00082665 0.63074 26463
158 0.00083591 0.63741 26458
158.1 0.00084526 0.64414 26454
158.2 0.0008547 0.65093 26449
158.3 0.00086424 0.65778 26444
158.4 0.00087386 0.6647 26440
158.5 0.00088358 0.67168 26435
158.6 0.00089339 0.67872 26430
158.7 0.0009033 0.68582 26425
158.8 0.0009133 0.69298 26421
158.9 0.0009234 0.70021 26416
159 0.00093359 0.70751 26411
159.1 0.00094388 0.71487 26407
159.2 0.00095427 0.7223 26402
159.3 0.00096476 0.72979 26397
159.4 0.00097535 0.73734 26392
159.5 0.00098604 0.74497 26388
159.6 0.00099683 0.75266 26383
159.7 0.0010077 0.76042 26378
159.8 0.0010187 0.76825 26374
159.9 0.0010298 0.77615 26369
160 0.001041 0.78411 26364
160.1 0.0010523 0.79215 26359
160.2 0.0010638 0.80025 26355
160.3 0.0010753 0.80843 26350
160.4 0.0010869 0.81668 26345
160.5 0.0010986 0.825 26340
160.6 0.0011105 0.83339 26336
160.7 0.0011225 0.84186 26331
160.8 0.0011345 0.8504 26326
160.9 0.0011467 0.85901 26322
161 0.001159 0.8677 26317
161.1 0.0011714 0.87646 26312
161.2 0.001184 0.88529 26307
161.3 0.0011966 0.89421 26303
161.4 0.0012094 0.9032 26298
161.5 0.0012222 0.91226 26293
161.6 0.0012352 0.92141 26288
161.7 0.0012483 0.93063 26284
161.8 0.0012616 0.93993 26279
161.9 0.0012749 0.94931 26274
162 0.0012884 0.95877 26269
162.1 0.001302 0.96831 26265
162.2 0.0013157 0.97793 26260
162.3 0.0013296 0.98763 26255
162.4 0.0013436 0.99741 26251
162.5 0.0013577 1.0073 26246
162.6 0.0013719 1.0172 26241
162.7 0.0013862 1.0273 26236
162.8 0.0014007 1.0374 26232
162.9 0.0014153 1.0476 26227
163 0.0014301 1.0579 26222
163.1 0.001445 1.0682 26217
163.2 0.00146 1.0787 26213
163.3 0.0014751 1.0892 26208
163.4 0.0014904 1.0999 26203
163.5 0.0015059 1.1106 26198
163.6 0.0015214 1.1214 26194
163.7 0.0015371 1.1323 26189
163.8 0.0015529 1.1433 26184
163.9 0.0015689 1.1544 26179
164 0.001585 1.1655 26175
164.1 0.0016013 1.1768 26170
164.2 0.0016177 1.1882 26165
164.3 0.0016343 1.1996 26161
164.4 0.001651 1.2112 26156
164.5 0.0016678 1.2228 26151
164.6 0.0016848 1.2345 26146
164.7 0.0017019 1.2463 26142
164.8 0.0017192 1.2583 26137
164.9 0.0017367 1.2703 26132
165 0.0017543 1.2824 26127
165.1 0.001772 1.2946 26123
165.2 0.0017899 1.3069 26118
165.3 0.001808 1.3193 26113
165.4 0.0018262 1.3318 26108
165.5 0.0018445 1.3445 26104
165.6 0.0018631 1.3572 26099
165.7 0.0018818 1.37 26094
165.8 0.0019006 1.3829 26089
165.9 0.0019196 1.3959 26085
166 0.0019388 1.409 26080
166.1 0.0019581 1.4223 26075
166.2 0.0019776 1.4356 26070
166.3 0.0019973 1.449 26066
166.4 0.0020171 1.4626 26061
166.5 0.0020371 1.4762 26056
166.6 0.0020573 1.49 26051
166.7 0.0020777 1.5039 26047
166.8 0.0020982 1.5179 26042
166.9 0.0021189 1.5319 26037
167 0.0021398 1.5461 26032
167.1 0.0021608 1.5604 26028
167.2 0.002182 1.5749 26023
