"Temperature_(K)" "Pressure_(MPa)" "Vap._Density_(mol/m3)" "Liq._Density_(mol/m3)"
142.2 0.000038222 0.032335 10365
142.3 0.000038805 0.032805 10364
142.4 0.000039397 0.033282 10362
142.5 0.000039996 0.033764 10360
142.6 0.000040603 0.034253 10358
142.7 0.000041219 0.034748 10356
142.8 0.000041843 0.035249 10354
142.9 0.000042475 0.035757 10352
143 0.000043116 0.036271 10350
143.1 0.000043765 0.036792 10348
143.2 0.000044423 0.037319 10347
143.3 0.00004509 0.037853 10345
143.4 0.000045766 0.038393 10343
143.5 0.00004645 0.038941 10341
143.6 0.000047144 0.039495 10339
143.7 0.000047847 0.040056 10337
143.8 0.000048559 0.040624 10335
143.9 0.000049281 0.0412 10333
144 0.000050013 0.041782 10332
144.1 0.000050753 0.042372 10330
144.2 0.000051504 0.042969 10328
144.3 0.000052265 0.043573 10326
144.4 0.000053035 0.044185 10324
144.5 0.000053816 0.044804 10322
144.6 0.000054606 0.045431 10320
144.7 0.000055407 0.046066 10318
144.8 0.000056219 0.046709 10316
144.9 0.000057041 0.047359 10315
145 0.000057874 0.048017 10313
145.1 0.000058717 0.048684 10311
145.2 0.000059571 0.049358 10309
145.3 0.000060437 0.050041 10307
145.4 0.000061313 0.050732 10305
145.5 0.000062201 0.051431 10303
145.6 0.0000631 0.052139 10301
145.7 0.000064011 0.052855 10300
145.8 0.000064933 0.05358 10298
145.9 0.000065867 0.054314 10296
146 0.000066813 0.055057 10294
146.1 0.000067771 0.055808 10292
146.2 0.000068742 0.056568 10290
146.3 0.000069724 0.057338 10288
146.4 0.000070719 0.058117 10286
146.5 0.000071726 0.058905 10285
146.6 0.000072747 0.059702 10283
146.7 0.00007378 0.060508 10281
146.8 0.000074826 0.061325 10279
146.9 0.000075885 0.062151 10277
147 0.000076957 0.062986 10275
147.1 0.000078043 0.063832 10273
147.2 0.000079142 0.064687 10271
147.3 0.000080255 0.065553 10270
147.4 0.000081382 0.066428 10268
147.5 0.000082523 0.067314 10266
147.6 0.000083678 0.06821 10264
147.7 0.000084847 0.069117 10262
147.8 0.000086031 0.070034 10260
147.9 0.000087229 0.070962 10258
148 0.000088442 0.0719 10256
148.1 0.00008967 0.072849 10255
148.2 0.000090913 0.07381 10253
148.3 0.000092172 0.074781 10251
148.4 0.000093445 0.075763 10249
148.5 0.000094734 0.076757 10247
148.6 0.000096039 0.077762 10245
148.7 0.00009736 0.078779 10243
148.8 0.000098697 0.079807 10241
148.9 0.00010005 0.080847 10240
149 0.00010142 0.081899 10238
149.1 0.0001028 0.082963 10236
149.2 0.00010421 0.084039 10234
149.3 0.00010563 0.085127 10232
149.4 0.00010706 0.086227 10230
149.5 0.00010852 0.08734 10228
149.6 0.00010999 0.088465 10227
149.7 0.00011148 0.089603 10225
149.8 0.00011298 0.090753 10223
149.9 0.00011451 0.091917 10221
150 0.000116 0.093093 10219
150.1 0.000118 0.094283 10217
150.2 0.000119 0.095486 10215
150.3 0.000121 0.096702 10213
150.4 0.000122 0.097932 10212
150.5 0.000124 0.099175 10210
150.6 0.000126 0.10043 10208
150.7 0.000127 0.1017 10206
150.8 0.000129 0.10299 10204
150.9 0.000131 0.10429 10202
151 0.000133 0.1056 10200
151.1 0.000134 0.10693 10199
151.2 0.000136 0.10827 10197
151.3 0.000138 0.10963 10195
151.4 0.00014 0.111 10193
151.5 0.000141 0.11239 10191
151.6 0.000143 0.11379 10189
151.7 0.000145 0.1152 10187
151.8 0.000147 0.11664 10185
151.9 0.000149 0.11808 10184
152 0.000151 0.11955 10182
152.1 0.000153 0.12103 10180
152.2 0.000155 0.12252 10178
152.3 0.000157 0.12403 10176
152.4 0.000159 0.12556 10174
152.5 0.000161 0.1271 10172
152.6 0.000163 0.12866 10171
152.7 0.000165 0.13024 10169
152.8 0.000167 0.13183 10167
152.9 0.00017 0.13344 10165
153 0.000172 0.13507 10163
153.1 0.000174 0.13672 10161
153.2 0.000176 0.13838 10159
153.3 0.000178 0.14006 10158
153.4 0.000181 0.14175 10156
153.5 0.000183 0.14347 10154
153.6 0.000185 0.1452 10152
153.7 0.000188 0.14695 10150
153.8 0.00019 0.14872 10148
153.9 0.000192 0.15051 10146
154 0.000195 0.15232 10145
154.1 0.000197 0.15414 10143
154.2 0.0002 0.15599 10141
154.3 0.000202 0.15785 10139
154.4 0.000205 0.15973 10137
154.5 0.000207 0.16163 10135
154.6 0.00021 0.16356 10133
154.7 0.000213 0.1655 10131
154.8 0.000215 0.16746 10130
154.9 0.000218 0.16944 10128
155 0.000221 0.17144 10126
155.1 0.000224 0.17346 10124
155.2 0.000226 0.17551 10122
155.3 0.000229 0.17757 10120
155.4 0.000232 0.17966 10118
155.5 0.000235 0.18176 10117
155.6 0.000238 0.18389 10115
155.7 0.000241 0.18604 10113
155.8 0.000244 0.18821 10111
155.9 0.000247 0.1904 10109
156 0.00025 0.19261 10107
156.1 0.000253 0.19485 10105
156.2 0.000256 0.19711 10104
156.3 0.000259 0.19939 10102
156.4 0.000262 0.2017 10100
156.5 0.000265 0.20402 10098
156.6 0.000268 0.20637 10096
156.7 0.000272 0.20875 10094
156.8 0.000275 0.21114 10092
156.9 0.000278 0.21357 10091
157 0.000282 0.21601 10089
157.1 0.000285 0.21848 10087
157.2 0.000289 0.22097 10085
157.3 0.000292 0.22349 10083
157.4 0.000296 0.22603 10081
157.5 0.000299 0.2286 10079
157.6 0.000303 0.2312 10078
157.7 0.000306 0.23381 10076
157.8 0.00031 0.23646 10074
157.9 0.000314 0.23913 10072
158 0.000317 0.24182 10070
158.1 0.000321 0.24454 10068
158.2 0.000325 0.24729 10066
158.3 0.000329 0.25007 10065
158.4 0.000333 0.25287 10063
158.5 0.000337 0.2557 10061
158.6 0.000341 0.25855 10059
158.7 0.000345 0.26144 10057
158.8 0.000349 0.26435 10055
158.9 0.000353 0.26728 10054
159 0.000357 0.27025 10052
159.1 0.000361 0.27325 10050
159.2 0.000365 0.27627 10048
159.3 0.00037 0.27932 10046
159.4 0.000374 0.2824 10044
159.5 0.000378 0.28551 10042
159.6 0.000383 0.28865 10041
159.7 0.000387 0.29182 10039
159.8 0.000392 0.29502 10037
159.9 0.000396 0.29825 10035
160 0.000401 0.30151 10033
160.1 0.000405 0.3048 10031
160.2 0.00041 0.30812 10029
160.3 0.000415 0.31147 10028
160.4 0.000419 0.31486 10026
160.5 0.000424 0.31827 10024
160.6 0.000429 0.32172 10022
160.7 0.000434 0.3252 10020
160.8 0.000439 0.32871 10018
160.9 0.000444 0.33225 10016
161 0.000449 0.33583 10015
161.1 0.000454 0.33944 10013
161.2 0.000459 0.34308 10011
161.3 0.000464 0.34676 10009
161.4 0.00047 0.35047 10007
161.5 0.000475 0.35421 10005
161.6 0.00048 0.35799 10003
161.7 0.000486 0.3618 10002
161.8 0.000491 0.36565 9999.8
161.9 0.000497 0.36953 9997.9
162 0.000502 0.37345 9996.1
162.1 0.000508 0.3774 9994.2
162.2 0.000514 0.38139 9992.4
162.3 0.000519 0.38542 9990.5
162.4 0.000525 0.38948 9988.7
162.5 0.000531 0.39358 9986.8
162.6 0.000537 0.39771 9985
162.7 0.000543 0.40188 9983.1
162.8 0.000549 0.40609 9981.3
162.9 0.000555 0.41034 9979.4
163 0.000561 0.41462 9977.6
163.1 0.000567 0.41895 9975.7
163.2 0.000574 0.42331 9973.9
163.3 0.00058 0.42771 9972
163.4 0.000586 0.43215 9970.2
163.5 0.000593 0.43663 9968.3
163.6 0.000599 0.44115 9966.5
163.7 0.000606 0.44571 9964.6
163.8 0.000612 0.4503 9962.8
163.9 0.000619 0.45494 9960.9
164 0.000626 0.45962 9959.1
164.1 0.000633 0.46434 9957.2
164.2 0.000639 0.46911 9955.4
164.3 0.000646 0.47391 9953.5
164.4 0.000653 0.47876 9951.7
164.5 0.00066 0.48364 9949.8
164.6 0.000668 0.48858 9948
164.7 0.000675 0.49355 9946.1
164.8 0.000682 0.49857 9944.3
164.9 0.000689 0.50363 9942.4
165 0.000697 0.50873 9940.6
165.1 0.000704 0.51388 9938.7
165.2 0.000712 0.51907 9936.9
165.3 0.000719 0.52431 9935
165.4 0.000727 0.52959 9933.2
165.5 0.000735 0.53492 9931.3
165.6 0.000743 0.54029 9929.5
165.7 0.00075 0.54571 9927.6
165.8 0.000758 0.55117 9925.8
165.9 0.000766 0.55668 9924
166 0.000775 0.56224 9922.1
166.1 0.000783 0.56785 9920.3
166.2 0.000791 0.5735 9918.4
166.3 0.000799 0.5792 9916.6
166.4 0.000808 0.58495 9914.7
166.5 0.000816 0.59075 9912.9
166.6 0.000825 0.59659 9911
166.7 0.000833 0.60249 9909.2
166.8 0.000842 0.60843 9907.3
166.9 0.000851 0.61443 9905.5
167 0.00086 0.62047 9903.6
167.1 0.000869 0.62657 9901.8
167.2 0.000878 0.63272 9899.9
167.3 0.000887 0.63891 9898.1
167.4 0.000896 0.64516 9896.2
167.5 0.000905 0.65146 9894.4
167.6 0.000915 0.65782 9892.5
167.7 0.000924 0.66422 9890.7
167.8 0.000934 0.67068 9888.8
167.9 0.000943 0.67719 9887
168 0.00095307 0.68376 9885.1
168.1 0.00096286 0.69038 9883.3
168.2 0.00097273 0.69705 9881.4
168.3 0.00098269 0.70378 9879.6
168.4 0.00099273 0.71056 9877.7
168.5 0.0010029 0.7174 9875.9
168.6 0.0010131 0.7243 9874
168.7 0.0010234 0.73125 9872.2
168.8 0.0010338 0.73825 9870.3
168.9 0.0010443 0.74532 9868.5
169 0.0010549 0.75244 9866.6
169.1 0.0010656 0.75962 9864.8
169.2 0.0010763 0.76685 9863
169.3 0.0010872 0.77415 9861.1
169.4 0.0010981 0.7815 9859.3
169.5 0.0011092 0.78891 9857.4
169.6 0.0011203 0.79639 9855.6
169.7 0.0011316 0.80392 9853.7
169.8 0.0011429 0.81151 9851.9
169.9 0.0011544 0.81916 9850
170 0.0011659 0.82688 9848.2
170.1 0.0011775 0.83465 9846.3
170.2 0.0011893 0.84249 9844.5
170.3 0.0012011 0.85039 9842.6
170.4 0.001213 0.85835 9840.8
170.5 0.0012251 0.86637 9838.9
170.6 0.0012372 0.87446 9837.1
170.7 0.0012495 0.88261 9835.2
170.8 0.0012618 0.89083 9833.4
170.9 0.0012743 0.89911 9831.5
171 0.0012868 0.90746 9829.7
171.1 0.0012995 0.91587 9827.8
171.2 0.0013122 0.92434 9826
171.3 0.0013251 0.93288 9824.1
171.4 0.0013381 0.94149 9822.3
171.5 0.0013512 0.95017 9820.4
171.6 0.0013644 0.95891 9818.6
171.7 0.0013777 0.96772 9816.7
171.8 0.0013911 0.9766 9814.9
171.9 0.0014047 0.98555 9813
172 0.0014183 0.99457 9811.2
172.1 0.0014321 1.0037 9809.4
172.2 0.001446 1.0128 9807.5
172.3 0.00146 1.022 9805.7
172.4 0.0014741 1.0313 9803.8
172.5 0.0014883 1.0407 9802
172.6 0.0015026 1.0501 9800.1
172.7 0.0015171 1.0597 9798.3
172.8 0.0015317 1.0692 9796.4
172.9 0.0015464 1.0789 9794.6
173 0.0015612 1.0886 9792.7
173.1 0.0015761 1.0984 9790.9
173.2 0.0015912 1.1083 9789
173.3 0.0016064 1.1183 9787.2
173.4 0.0016217 1.1283 9785.3
173.5 0.0016371 1.1384 9783.5
173.6 0.0016527 1.1486 9781.6
173.7 0.0016684 1.1588 9779.8
173.8 0.0016842 1.1692 9777.9
173.9 0.0017001 1.1796 9776.1
174 0.0017162 1.1901 9774.2
174.1 0.0017324 1.2006 9772.4
174.2 0.0017487 1.2113 9770.5
174.3 0.0017652 1.222 9768.7
174.4 0.0017818 1.2328 9766.8
174.5 0.0017985 1.2437 9765
174.6 0.0018153 1.2547 9763.1
174.7 0.0018323 1.2657 9761.3
174.8 0.0018495 1.2769 9759.4
174.9 0.0018667 1.2881 9757.6
175 0.0018841 1.2994 9755.7
175.1 0.0019017 1.3107 9753.9
175.2 0.0019193 1.3222 9752
175.3 0.0019372 1.3337 9750.2
175.4 0.0019551 1.3454 9748.3
175.5 0.0019732 1.3571 9746.5
175.6 0.0019915 1.3689 9744.6
175.7 0.0020099 1.3808 9742.8
175.8 0.0020284 1.3927 9740.9
175.9 0.0020471 1.4048 9739.1
176 0.0020659 1.4169 9737.2
176.1 0.0020849 1.4292 9735.4
176.2 0.002104 1.4415 9733.5
176.3 0.0021232 1.4539 9731.7
176.4 0.0021427 1.4664 9729.8
176.5 0.0021622 1.479 9728
176.6 0.002182 1.4917 9726.1
176.7 0.0022018 1.5045 9724.3
176.8 0.0022219 1.5173 9722.4
176.9 0.002242 1.5303 9720.6
177 0.0022624 1.5433 9718.7
177.1 0.0022829 1.5565 9716.9
177.2 0.0023035 1.5697 9715
177.3 0.0023243 1.583 9713.2
177.4 0.0023453 1.5964 9711.3
177.5 0.0023664 1.61 9709.5
177.6 0.0023877 1.6236 9707.6
177.7 0.0024092 1.6373 9705.8
177.8 0.0024308 1.6511 9703.9
177.9 0.0024526 1.665 9702.1
178 0.0024745 1.679 9700.2
178.1 0.0024966 1.6931 9698.4
178.2 0.0025189 1.7073 9696.5
178.3 0.0025414 1.7216 9694.7
178.4 0.002564 1.736 9692.8
