X_1 Y_1 p_(Pa)
9  
0.0377 0.1778 4146000
0.0504 0.2203 4506000
0.0724 0.2661 4915000
0.1154 0.3372 5851000
0.1834 0.3942 7093000
0.2407 0.4061 7868000
0.2696 0.3952 8197000
0.2803 0.3887 8282000
0.2995 0.3782 8381000
