"X_1" "Y_1" "p_(Pa)"
19
0.0603 0.8567 276000
0.0743 0.8775 326000
0.0972 0.9019 404900
0.133 0.9246 525300
0.1728 0.9384 643300
0.2407 0.9524 826700
0.2459 0.9533 842500
0.3144 0.9612 997000
0.3324 0.9612 1010100
0.4097 0.9673 1137600
0.5063 0.9715 1264500
0.578 0.9746 1352700
0.6356 0.9768 1417500
0.7003 0.9789 1473400
0.7171 0.9794 1476100
0.7639 0.981 1520300
0.8229 0.9838 1576100
0.9024 0.988 1645100
0.9001 0.9873 1648500
