"Temperature_(K)" "Pressure_(MPa)" "Vap._Density_(mol/m3)" "Liq._Density_(mol/m3)"
2155
90.37 0.0000011427 0.0015208 21668
90.4 0.0000011518 0.0015324 21667
90.5 0.0000011825 0.0015715 21663
90.6 0.0000012139 0.0016114 21659
90.7 0.000001246 0.0016523 21656
90.8 0.000001279 0.0016941 21652
90.9 0.0000013127 0.0017369 21648
91 0.0000013473 0.0017807 21645
91.1 0.0000013826 0.0018254 21641
91.2 0.0000014188 0.0018711 21637
91.3 0.0000014559 0.0019179 21634
91.4 0.0000014939 0.0019658 21630
91.5 0.0000015327 0.0020147 21626
91.6 0.0000015724 0.0020647 21623
91.7 0.0000016131 0.0021158 21619
91.8 0.0000016548 0.002168 21615
91.9 0.0000016974 0.0022214 21612
92 0.000001741 0.002276 21608
92.1 0.0000017856 0.0023318 21604
92.2 0.0000018312 0.0023888 21601
92.3 0.0000018779 0.0024471 21597
92.4 0.0000019257 0.0025066 21593
92.5 0.0000019746 0.0025675 21590
92.6 0.0000020246 0.0026296 21586
92.7 0.0000020757 0.0026932 21582
92.8 0.0000021281 0.0027581 21579
92.9 0.0000021816 0.0028244 21575
93 0.0000022363 0.0028921 21571
93.1 0.0000022922 0.0029613 21568
93.2 0.0000023495 0.0030319 21564
93.3 0.000002408 0.0031041 21560
93.4 0.0000024678 0.0031778 21557
93.5 0.000002529 0.0032531 21553
93.6 0.0000025915 0.00333 21549
93.7 0.0000026554 0.0034085 21546
93.8 0.0000027208 0.0034887 21542
93.9 0.0000027876 0.0035705 21539
94 0.0000028559 0.0036541 21535
94.1 0.0000029257 0.0037394 21531
94.2 0.000002997 0.0038266 21528
94.3 0.0000030699 0.0039155 21524
94.4 0.0000031444 0.0040063 21520
94.5 0.0000032206 0.0040989 21517
94.6 0.0000032984 0.0041935 21513
94.7 0.0000033778 0.00429 21509
94.8 0.0000034591 0.0043885 21506
94.9 0.000003542 0.0044891 21502
95 0.0000036268 0.0045916 21498
95.1 0.0000037134 0.0046963 21495
95.2 0.0000038018 0.0048032 21491
95.3 0.0000038922 0.0049121 21487
95.4 0.0000039845 0.0050233 21484
95.5 0.0000040787 0.0051368 21480
95.6 0.000004175 0.0052525 21476
95.7 0.0000042733 0.0053706 21473
95.8 0.0000043737 0.005491 21469
95.9 0.0000044762 0.0056139 21465
96 0.0000045809 0.0057391 21462
96.1 0.0000046877 0.0058669 21458
96.2 0.0000047969 0.0059973 21455
96.3 0.0000049083 0.0061302 21451
96.4 0.000005022 0.0062657 21447
96.5 0.0000051381 0.0064039 21444
96.6 0.0000052566 0.0065448 21440
96.7 0.0000053776 0.0066885 21436
96.8 0.000005501 0.006835 21433
96.9 0.0000056271 0.0069844 21429
97 0.0000057557 0.0071367 21425
97.1 0.0000058869 0.0072919 21422
97.2 0.0000060208 0.0074501 21418
97.3 0.0000061575 0.0076114 21414
97.4 0.000006297 0.0077758 21411
97.5 0.0000064393 0.0079434 21407
97.6 0.0000065844 0.0081141 21403
97.7 0.0000067326 0.0082882 21400
97.8 0.0000068837 0.0084655 21396
97.9 0.0000070378 0.0086463 21392
98 0.0000071951 0.0088304 21389
98.1 0.0000073555 0.0090181 21385
98.2 0.0000075191 0.0092093 21382
98.3 0.0000076859 0.0094041 21378
98.4 0.0000078561 0.0096026 21374
98.5 0.0000080297 0.0098047 21371
98.6 0.0000082067 0.010011 21367
98.7 0.0000083872 0.010221 21363
98.8 0.0000085713 0.010434 21360
98.9 0.0000087589 0.010652 21356
99 0.0000089503 0.010874 21352
99.1 0.0000091454 0.0111 21349
99.2 0.0000093443 0.01133 21345
99.3 0.0000095471 0.011564 21341
99.4 0.0000097538 0.011802 21338
99.5 0.0000099646 0.012045 21334
99.6 0.000010179 0.012292 21330
99.7 0.000010398 0.012544 21327
99.8 0.000010622 0.012801 21323
99.9 0.000010849 0.013062 21320
